14 01 14  01 54 32  38630
14 01 14  01 55 03  38628
14 01 14  01 55 33  38632
14 01 14  01 56 03  38637
14 01 14  01 56 33  38638
14 01 14  01 57 02  38640
14 01 14  01 57 32  38638
14 01 14  01 58 02  38653
14 01 14  01 58 32  38638
14 01 14  01 59 02  38636
14 01 14  01 59 32  38639
14 01 14  02 00 02  38643
14 01 14  02 00 32  38640
14 01 14  02 01 02  38639
14 01 14  02 01 32  38643
14 01 14  02 02 03  38647
14 01 14  02 02 33  38651
14 01 14  02 03 03  38634
14 01 14  02 03 33  38661
14 01 14  02 04 02  38641
14 01 14  02 04 32  38656
14 01 14  02 05 02  38662
14 01 14  02 05 32  38662
14 01 14  02 06 02  38670
14 01 14  02 06 32  38671
14 01 14  02 07 02  38658
14 01 14  02 07 32  38669
14 01 14  02 08 03  38666
14 01 14  02 08 33  38677
14 01 14  02 09 03  38675
14 01 14  02 09 33  38673
14 01 14  02 10 03  38683
14 01 14  02 10 32  38676
14 01 14  02 11 02  38682
14 01 14  02 11 32  38673
14 01 14  02 12 02  38678
14 01 14  02 12 32  38665
14 01 14  02 13 02  38680
14 01 14  02 13 32  38681
14 01 14  02 14 02  38673
14 01 14  02 14 32  38673
14 01 14  02 15 03  38673
14 01 14  02 15 33  38698
14 01 14  02 16 03  38707
14 01 14  02 16 33  38711
14 01 14  02 17 02  38706
14 01 14  02 17 32  38718
14 01 14  02 18 02  38736
14 01 14  02 18 32  38721
14 01 14  02 19 02  38716
14 01 14  02 19 32  38727
14 01 14  02 20 02  38742
14 01 14  02 20 32  38725
14 01 14  02 21 02  38738
14 01 14  02 21 32  38741
14 01 14  02 22 03  38741
14 01 14  02 22 33  38735
14 01 14  02 23 03  38748
14 01 14  02 23 33  38742
14 01 14  02 24 02  38744
14 01 14  02 24 32  38758
14 01 14  02 25 02  38775
14 01 14  02 25 32  38779
14 01 14  02 26 02  38780
14 01 14  02 26 32  38782
14 01 14  02 27 02  38785
14 01 14  02 27 32  38784
14 01 14  02 28 03  38778
14 01 14  02 28 33  38799
14 01 14  02 29 03  38785
14 01 14  02 29 33  38778
14 01 14  02 30 02  38810
14 01 14  02 30 32  38811
14 01 14  02 31 02  38787
14 01 14  02 31 32  38785
14 01 14  02 32 02  38793
14 01 14  02 32 32  38787
14 01 14  02 33 02  38804
14 01 14  02 33 32  38814
14 01 14  02 34 02  38834
14 01 14  02 34 32  38822
14 01 14  02 35 03  38842
14 01 14  02 35 33  38848
14 01 14  02 36 03  38840
14 01 14  02 36 33  38862
14 01 14  02 37 02  38852
14 01 14  02 37 32  38879
14 01 14  02 38 02  38906
14 01 14  02 38 32  38903
14 01 14  02 39 02  38906
14 01 14  02 39 32  38930
14 01 14  02 40 02  38912
14 01 14  02 40 32  38942
14 01 14  02 41 03  38924
14 01 14  02 41 33  38944
14 01 14  02 42 03  38937
14 01 14  02 42 33  38964
14 01 14  02 43 02  38958
14 01 14  02 43 32  38953
14 01 14  02 44 02  38979
14 01 14  02 44 32  38962
14 01 14  02 45 02  38959
14 01 14  02 45 32  38976
14 01 14  02 46 02  39003
14 01 14  02 46 32  38944
14 01 14  02 47 02  38965
14 01 14  02 47 32  38999
14 01 14  02 48 03  38962
14 01 14  02 48 33  38967
14 01 14  02 49 03  38954
14 01 14  02 49 33  38988
14 01 14  02 50 02  38999
14 01 14  02 50 32  38969
14 01 14  02 51 02  39002
14 01 14  02 51 32  38987
14 01 14  02 52 02  39027
14 01 14  02 52 32  38972
14 01 14  02 53 02  39009
14 01 14  02 53 32  38981
14 01 14  02 54 02  38969
14 01 14  02 54 32  39007
14 01 14  02 55 03  38998
14 01 14  02 55 33  38982
14 01 14  02 56 02  38998
14 01 14  02 56 32  38992
14 01 14  02 57 02  38998
14 01 14  02 57 32  38996
14 01 14  02 58 02  39032
14 01 14  02 58 32  38991
14 01 14  02 59 02  39010
14 01 14  02 59 32  39019
14 01 14  03 00 02  38996
14 01 14  03 00 32  38996
14 01 14  03 01 03  38990
14 01 14  03 01 33  39018
14 01 14  03 02 03  38998
14 01 14  03 02 33  39031
14 01 14  03 03 02  39011
14 01 14  03 03 32  39000
14 01 14  03 04 02  39000
14 01 14  03 04 32  39026
14 01 14  03 05 02  39011
14 01 14  03 05 32  39007
14 01 14  03 06 02  39014
14 01 14  03 06 32  39033
14 01 14  03 07 02  39026
14 01 14  03 07 32  39028
14 01 14  03 08 03  39017
14 01 14  03 08 33  39023
14 01 14  03 09 02  39009
14 01 14  03 09 32  39038
14 01 14  03 10 02  39045
14 01 14  03 10 32  39055
14 01 14  03 11 02  39026
14 01 14  03 11 32  39016
14 01 14  03 12 02  38999
14 01 14  03 12 32  39006
14 01 14  03 13 02  38997
14 01 14  03 13 32  39023
14 01 14  03 14 03  39014
14 01 14  03 14 33  39004
14 01 14  03 15 03  39021
14 01 14  03 15 33  39012
14 01 14  03 16 02  39022
14 01 14  03 16 32  39039
14 01 14  03 17 02  39021
14 01 14  03 17 32  39034
14 01 14  03 18 02  39001
14 01 14  03 18 32  39014
14 01 14  03 19 02  39029
14 01 14  03 19 32  39010
14 01 14  03 20 02  39009
14 01 14  03 20 32  39014
14 01 14  03 21 03  39018
14 01 14  03 21 33  39003
14 01 14  03 22 03  38994
14 01 14  03 22 33  38985
14 01 14  03 23 02  38993
14 01 14  03 23 32  39008
14 01 14  03 24 02  39006
14 01 14  03 24 32  38998
14 01 14  03 25 02  39018
14 01 14  03 25 32  38993
14 01 14  03 26 02  39013
14 01 14  03 26 32  38996
14 01 14  03 27 02  38977
14 01 14  03 27 32  39014
14 01 14  03 28 03  38997
14 01 14  03 28 33  39034
14 01 14  03 29 02  39016
14 01 14  03 29 32  39021
14 01 14  03 30 02  39049
14 01 14  03 30 32  39039
14 01 14  03 31 02  39055
14 01 14  03 31 32  39041
14 01 14  03 32 02  39053
14 01 14  03 32 32  39050
14 01 14  03 33 02  39061
14 01 14  03 33 32  39084
14 01 14  03 34 03  39089
14 01 14  03 34 33  39079
14 01 14  03 35 03  39063
14 01 14  03 35 33  39118
14 01 14  03 36 02  39081
14 01 14  03 36 32  39060
14 01 14  03 37 02  39078
14 01 14  03 37 32  39112
14 01 14  03 38 02  39063
