14 07 26  02 16 01  17745  ?  61211  -4584.57  ?  13.72 
14 07 26  02 16 31  17742  ?  61206  -4585.49  ?  13.72 
14 07 26  02 17 01  17740  ?  61210  -4586.10  ?  13.72 
14 07 26  02 17 31  17738  ?  61205  -4586.71  ?  13.72 
14 07 26  02 18 01  17730  ?  61210  -4589.15  ?  13.72 
14 07 26  02 18 31  17728  ?  61207  -4589.76  ?  13.72 
14 07 26  02 19 01  17728  ?  61210  -4589.76  ?  13.72 
14 07 26  02 19 31  17726  ?  61205  -4590.37  ?  13.72 
14 07 26  02 20 02  17723  ?  61211  -4591.29  ?  13.72 
14 07 26  02 20 32  17723  ?  61206  -4591.29  ?  13.72 
14 07 26  02 21 02  17720  ?  61209  -4592.20  ?  13.72 
14 07 26  02 21 32  17717  ?  61205  -4593.12  ?  13.72 
14 07 26  02 22 01  17707  ?  61206  -4596.17  ?  13.72 
14 07 26  02 22 31  17712  ?  61205  -4594.64  ?  13.72 
14 07 26  02 23 01  17706  ?  61210  -4596.48  ?  13.72 
14 07 26  02 23 31  17706  ?  61206  -4596.48  ?  13.72 
14 07 26  02 24 01  17699  ?  61211  -4598.61  ?  13.72 
14 07 26  02 24 31  17701  ?  61207  -4598.00  ?  13.72 
14 07 26  02 25 01  17698  ?  61212  -4598.92  ?  13.72 
14 07 26  02 25 31  17692  ?  61206  -4600.75  ?  13.72 
14 07 26  02 26 01  17693  ?  61211  -4600.44  ?  13.72 
14 07 26  02 26 31  17686  ?  61205  -4602.58  ?  13.72 
14 07 26  02 27 01  17684  ?  61211  -4603.19  ?  13.72 
14 07 26  02 27 31  17678  ?  61206  -4605.02  ?  13.72 
14 07 26  02 28 01  17680  ?  61210  -4604.41  ?  13.72 
14 07 26  02 28 31  17674  ?  61205  -4606.24  ?  13.72 
14 07 26  02 29 02  17674  ?  61207  -4606.24  ?  13.72 
14 07 26  02 29 32  17662  ?  61204  -4609.90  ?  13.72 
14 07 26  02 30 02  17662  ?  61209  -4609.90  ?  13.72 
14 07 26  02 30 32  17661  ?  61204  -4610.21  ?  13.72 
14 07 26  02 31 01  17659  ?  61210  -4610.82  ?  13.72 
14 07 26  02 31 31  17656  ?  61205  -4611.73  ?  13.72 
14 07 26  02 32 01  17654  ?  61206  -4612.34  ?  13.72 
14 07 26  02 32 31  17647  ?  61203  -4614.48  ?  13.72 
14 07 26  02 33 01  17648  ?  61211  -4614.18  ?  13.72 
14 07 26  02 33 31  17639  ?  61204  -4616.92  ?  13.72 
14 07 26  02 34 01  17638  ?  61211  -4617.23  ?  13.72 
14 07 26  02 34 31  17635  ?  61207  -4618.14  ?  13.72 
14 07 26  02 35 01  17634  ?  61210  -4618.45  ?  13.72 
14 07 26  02 35 31  17634  ?  61205  -4618.45  ?  13.72 
14 07 26  02 36 02  17631  ?  61209  -4619.36  ?  13.72 
14 07 26  02 36 32  17626  ?  61205  -4620.89  ?  13.72 
14 07 26  02 37 01  17618  ?  61210  -4623.33  ?  13.72 
14 07 26  02 37 31  17617  ?  61204  -4623.64  ?  13.72 
14 07 26  02 38 01  17609  ?  61210  -4626.08  ?  13.72 
14 07 26  02 38 31  17608  ?  61203  -4626.38  ?  13.72 
14 07 26  02 39 01  17609  ?  61211  -4626.08  ?  13.72 
14 07 26  02 39 31  17608  ?  61203  -4626.38  ?  13.72 
14 07 26  02 40 01  17603  ?  61210  -4627.91  ?  13.72 
14 07 26  02 40 31  17594  ?  61205  -4630.66  ?  13.72 
14 07 26  02 41 01  17592  ?  61210  -4631.27  ?  13.72 
14 07 26  02 41 31  17588  ?  61212  -4632.49  ?  13.72 
14 07 26  02 42 02  17588  ?  61215  -4632.49  ?  13.72 
14 07 26  02 42 32  17578  ?  61213  -4635.54  ?  13.72 
14 07 26  02 43 01  17577  ?  61218  -4635.84  ?  13.72 
14 07 26  02 43 31  17573  ?  61212  -4637.06  ?  13.72 
14 07 26  02 44 01  17569  ?  61219  -4638.28  ?  13.72 
14 07 26  02 44 31  17572  ?  61215  -4637.37  ?  13.72 
14 07 26  02 45 01  17562  ?  61218  -4640.42  ?  13.72 
14 07 26  02 45 31  17564  ?  61212  -4639.81  ?  13.72 
14 07 26  02 46 01  17558  ?  61220  -4641.64  ?  13.72 
14 07 26  02 46 31  17556  ?  61214  -4642.25  ?  13.72 
14 07 26  02 47 01  17548  ?  61218  -4644.69  ?  13.72 
14 07 26  02 47 31  17553  ?  61216  -4643.17  ?  13.72 
14 07 26  02 48 01  17546  ?  61217  -4645.30  ?  13.72 
14 07 26  02 48 31  17543  ?  61213  -4646.22  ?  13.72 
